A|A|113|20200601|20200630|20200708|999|SISTEMA SAC         
C|C|672  |RIBEIRA                                 |SP|    |0000000|        01058041185010000000
C|C|673  |BRAGANCA PAULISTA                       |SP|    |0000000|        01058041185010000000
C|C|674  |NOVA VENECIA                            |ES|    |0000000|        01058041185010000000
C|C|675  |ARAPONGAS                               |PR|    |0000000|        01058041185010000000
C|C|676  |ARINOS                                  |MG|    |0000000|        01058041185010000000
C|C|677  |MIRAI                                   |MG|    |0000000|        01058041185010000000
C|C|678  |PARAPUA                                 |SP|    |0000000|        01058041185010000000
C|C|679  |PRAIA GRANDE                            |SP|    |0000000|        01058041185010000000
C|C|680  |CORDEIROPOLIS                           |SP|    |0000000|        01058041185010000000
C|C|681  |ARACATI                                 |CE|    |0000000|        01058041185010000000
C|C|682  |MACHACALIS                              |MG|    |0000000|        01058041185010000000
C|C|683  |SAO JOSE DE MIPIBU                      |RN|    |0000000|        01058041185010000000
C|C|684  |SERRINHA                                |BA|    |0000000|        01058041185010000000
C|C|685  |ARAQUARI                                |SC|    |0000000|        01058041185010000000
C|C|686  |DUQUE DE CAXIAS                         |RJ|    |0000000|        01058041185010000000
C|C|687  |ARACAJU                                 |SE|    |0000000|        01058041185010000000
C|C|688  |VOLTA REDONDA                           |RJ|    |0000000|        01058041185010000000
C|C|689  |SALTO                                   |SP|    |0000000|        01058041185010000000
C|C|690  |PRADO                                   |BA|    |0000000|        01058041185010000000
